Name,Address,Cuisines,Take_Out,Phone,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time
Ninja new york,"25 Hudson St New York City, Ny 10013-3802",Japanese; Sushi; American,No,+1 212-274-8500,05:00 PM,11:00 PM,05:00 PM,10:00 PM
Rossopomodoro,"200 5Th Ave New York City, Ny 10010-3302",Pizza; Italian; Vegetarian Friendly,Yes,+1 212-229-2560,09:00 AM,11:00 PM,09:00 AM,11:00 PM
Jams restaurant,"1414 Avenue Of The Americas New York City, Ny 10019-2514",Vegan Options; Vegetarian Friendly; American,Yes,+1 212-703-2007,07:00 AM,11:00 PM,07:00 AM,10:30 PM
William’s restaurant and bar,"52 William St New York City, Ny 10005-2876",Pub; American; Bar,Yes,+1 212-859-2200,Closed,Closed,Closed,Closed
Zizi limona,"129 Havemeyer St Brooklyn, Ny 11211-4411",Lebanese; Middle Eastern; Mediterranean,Yes,+1 347-763-1463,11:30 AM,11:00 PM,11:30 AM,11:00 PM
Excellent dumpling house,"165 W 23Rd St New York City, Ny 10011-2404",Seafood; Dim Sum; Soup,Yes,+1 212-989-8885,11:00 AM,11:00 PM,11:00 AM,10:30 PM
The red cat,"227 10Th Ave New York City, Ny 10011-4717",Vegan Options; Vegetarian Friendly; American,No,+1 212-242-1308,05:30 PM,11:00 PM,05:00 PM,10:00 PM
Buttermilk channel,"524 Court St Brooklyn, Ny 11231-4014",Gluten Free Options; Vegetarian Friendly; American,No,+1 718-852-8490,05:00 PM,11:30 PM,05:00 PM,10:00 PM
Hakubai,"66 Park Ave New York City, Ny 10016-3007",Japanese; Sushi; Asian,No,+1 212-885-7111,11:45 AM,10:00 PM,06:00 PM,10:00 PM
Marlow & sons,"81 Broadway Brooklyn, Ny 11249-6005",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 718-384-1441,08:00 AM,12:00 AM,08:00 AM,12:00 AM
Sadelle's,"463 W Broadway New York City, Ny 10012-3104",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 212-776-4926,08:30 AM,08:30 PM,08:30 AM,05:00 PM
Asellina,"420 Park Ave S New York City, Ny 10016-8403",Italian; Vegetarian Friendly; Gluten Free Options,Yes,+1 212-317-2908,07:00 AM,11:30 PM,07:00 AM,10:00 PM
Victor's cafe,"236 W 52Nd St New York City, Ny 10019-5822",Cuban; Spanish; Latin,Yes,+1 212-586-7714,11:45 AM,12:00 AM,11:45 AM,11:00 PM
The mercer kitchen,"99 Prince St New York City, Ny 10012-3218",Vegan Options; Vegetarian Friendly; American,No,+1 212-966-5454,07:00 AM,01:00 AM,07:00 AM,11:00 PM
The masalawala,"179 Essex St New York City, Ny 10002-1547",Vegan Options; Vegetarian Friendly; Indian,Yes,+1 212-358-9300,12:00 PM,12:00 AM,12:00 PM,12:00 AM
Food gallery 32,"11 W 32Nd St New York City, Ny 10001-3819",Korean; Asian,Yes,+1 212-967-1678,11:00 AM,12:00 AM,11:00 AM,12:00 AM
Marea,"240 Central Park S New York City, Ny 10019-1457",Seafood; Italian; Mediterranean,No,+1 212-582-5100,11:30 AM,11:30 PM,11:30 AM,10:30 PM
Sakamai,"157 Ludlow St New York City, Ny 10002-2290",Japanese; Sushi; Asian,Yes,+1 646-590-0684,06:00 PM,11:30 PM,05:30 PM,10:30 PM
Great ny noodle town,"28 1/2 Bowery New York City, Ny 10013-5102",Chinese; Asian,Yes,+1 212-349-0923,09:00 AM,04:00 AM,09:00 AM,04:00 AM
Tavern on the green,"67Th Street & Central Park West New York City, Ny 10023",Vegetarian Friendly; American; Bar,No,+1 212-877-8684,09:00 AM,11:00 PM,09:00 AM,09:00 PM
Locanda verde,"377 Greenwich St New York City, Ny 10013-2338",Italian; Vegetarian Friendly; American,Yes,+1 212-925-3797,05:30 PM,11:30 PM,05:30 PM,11:00 PM
Keste west village,"271 Bleecker St New York City, Ny 10014-4102",Pizza; Italian; International,Yes,+1 212-243-1500,11:30 AM,11:30 PM,11:30 AM,10:30 PM
Pokeworks,"63 W 37Th St New York City, Ny 10018-6202",Seafood; Japanese; Fast Food,Yes,+1 212-575-8881,11:00 AM,08:00 PM,11:00 AM,08:00 PM
Cafe fiorello,"1900 Broadway New York City, Ny 10023-7004",Pizza; Italian; Vegetarian Friendly,Yes,+1 212-595-5330,09:00 AM,12:00 AM,09:00 AM,11:00 PM
Delmonico's kitchen,"207 W 36Th St New York City, Ny 10018-7503",Gluten Free Options; Steakhouse; American,No,+1 212-695-5220,05:00 PM,10:00 PM,05:00 PM,09:00 PM
Park italian gourmet,"60 W 45Th St Frnt 1 New York City, Ny 10036-4207",Italian; Delis; Sandwiches,Yes,+1 212-382-0580,Closed,Closed,Closed,Closed
Nocello,"257 W 55Th St New York City, Ny 10019-5232",Italian; Vegetarian Friendly; Gluten Free Options,Yes,+1 212-713-0224,04:00 PM,09:30 PM,04:00 PM,09:30 PM
Machiavelli,"519 Columbus Ave New York City, Ny 10024-3402",Italian; Vegetarian Friendly; Mediterranean,Yes,+1 212-724-2658,08:00 AM,01:00 AM,08:00 AM,01:00 AM
Craft,"43 E 19Th St New York City, Ny 10003-1304",Vegan Options; Vegetarian Friendly; American,No,+1 212-780-0880,05:30 PM,11:00 PM,05:30 PM,10:00 PM
Estela,"47 E Houston St New York City, Ny 10012-2749",Breakfast & Brunch; Cocktail Bars; American (New),No,+1 212-219-7693,05:30 PM,01:00 AM,05:30 PM,12:00 AM
Mémé mediterranean,"581 Hudson St New York City, Ny 10014-5936",Vegetarian Friendly; Middle Eastern; Mediterranean,Yes,+1 646-692-8450,10:00 AM,11:00 PM,10:00 AM,11:00 PM
Vic's,"31 Great Jones St New York City, Ny 10012-1178",Italian; Vegetarian Friendly; American,Yes,+1 212-253-5700,10:30 AM,11:30 PM,10:30 AM,10:00 PM
Bryant park grill,"25 W 40Th St New York City, Ny 10018-2601",Vegan Options; Vegetarian Friendly; American,No,+1 212-840-6500,11:30 AM,11:00 PM,11:30 AM,11:00 PM
Toloache 82,"166 E 82Nd St New York City, Ny 10028-1822",Vegetarian Friendly; Gluten Free Options; Mexican,Yes,+1 212-861-4505,05:00 PM,11:30 PM,05:00 PM,10:00 PM
Vinegar hill house,"72 Hudson Ave Brooklyn, Ny 11201-1222",Gluten Free Options; Vegetarian Friendly; American,No,+1 718-522-1018,06:00 PM,11:30 PM,05:30 PM,11:00 PM
Risotteria melotti nyc,"309 E 5Th St New York City, Ny 10003-8825",Italian; Mediterranean; Healthy,Yes,+1 646-755-8939,11:00 AM,10:30 PM,11:00 AM,10:30 PM
Lexington bar and books,"1020 Lexington Ave New York City, Ny 10021-4223",Pub; American; Bar,No,+1 212-717-3902,05:00 PM,04:00 AM,05:00 PM,03:00 AM
Patzeria perfect pizza,"231 W 46Th St New York City, Ny 10036-1409",Pizza; Italian; Fast Food,Yes,+1 212-575-7646,07:00 AM,01:00 AM,07:00 AM,12:00 AM
Marta,"29 E 29Th St New York City, Ny 10016-7902",Pizza; Italian; Vegetarian Friendly,Yes,+1 212-651-3800,11:00 AM,11:30 PM,11:00 AM,11:30 PM
Markjoseph steakhouse,"261 Water St New York City, Ny 10038-1714",Steakhouse; American,Yes,+1 212-277-0020,05:00 PM,10:45 PM,03:00 PM,09:00 PM
Sweet chick,"164 Bedford Ave Brooklyn, Ny 11249-1367",Southern; Breakfast & Brunch; American (Traditional),Yes,+1 347-725-4793,10:00 AM,02:00 AM,10:00 AM,02:00 AM
The kati roll company,"49 W 39Th St New York City, Ny 10018-3887",Indian; Fast Food; Asian,Yes,+1 212-730-4280,12:00 PM,05:00 AM,12:00 PM,09:00 PM
Lattanzi ristorante,"361 W 46Th St New York City, Ny 10036-3805",Italian; Vegetarian Friendly; Vegan Options,No,+1 212-315-0980,11:30 AM,11:30 PM,11:30 AM,10:30 PM
Queen italian restaurant,"84 Court St Brooklyn, Ny 11201-5042",Italian; Vegetarian Friendly; Gluten Free Options,Yes,+1 718-596-5955,04:00 PM,11:00 PM,02:30 PM,10:00 PM
Peter dillon's,"130 E 40Th St New York City, Ny 10016-0941",Irish Pub; Beer Bar,No,+1 212-213-3998,11:00 AM,04:00 AM,11:00 AM,04:00 AM
Oregano,"102 Berry St Brooklyn, Ny 11249-3231",Pizza; Italian; Vegetarian Friendly,Yes,(718) 599-5988,12:00 PM,11:00 PM,12:00 PM,11:00 PM
Anassa taverna,"200 E 60Th St New York City, Ny 10022-1486",Vegetarian Friendly; Mediterranean; Greek,Yes,+1 212-371-5200,11:30 AM,12:30 AM,11:30 AM,11:00 PM
Zen ramen & sushi,"150 W 36Th St New York City, Ny 10018-6919",Japanese; Sushi; Asian,Yes,+1 646-870-7509,12:00 PM,10:00 PM,12:00 PM,10:00 PM
Piacere,"351 Broome St New York City, Ny 10013-4236",Pizza; Italian; Vegetarian Friendly,Yes,+1 212-219-4080,12:00 PM,02:30 AM,12:00 PM,02:00 AM
Merilu pizza al metro,"791 9Th Ave New York City, Ny 10019-5643",Pizza; Italian; Vegetarian Friendly,Yes,+1 212-541-5012,01:00 PM,02:00 AM,01:00 PM,02:00 AM
L'atelier de joel robuchon,"85 10Th Ave New York City, Ny 10011-4725",Vegetarian Friendly; French,No,+1 212-488-8885,05:00 PM,11:00 PM,05:30 PM,11:00 PM
Wah fung fast food,"79 Chrystie St New York City, Ny 10002-5014",Chinese; Fast Food; Asian,Yes,+1 212-925-5175,11:00 AM,11:00 PM,11:00 AM,11:00 PM
The mark restaurant by jean georges,"25 E 77Th St New York City, Ny 10075-1711",Contemporary; American; French,No,+1 212-606-3030,05:30 PM,02:00 AM,05:30 AM,11:00 PM
Don's bogam bbq & wine bar,"17 E 32Nd St New York City, Ny 10016-5401",Barbecue; Korean; Asian,Yes,+1 212-683-2200,11:30 AM,12:00 AM,11:30 AM,12:00 AM
Clover club,"210 Smith St Brooklyn, Ny 11201-6437",American; Bar,No,+1 718-855-7939,10:30 AM,04:00 AM,10:30 AM,02:00 AM
Tavola,"488 9Th Ave New York City, Ny 10018-4128",Pizza; Italian; Vegetarian Friendly,Yes,+1 212-273-1181,02:00 PM,11:00 PM,02:00 PM,11:00 PM
Morimoto,"88 10Th Ave New York City, Ny 10011-4721",Seafood; Japanese; Sushi,No,+1 212-989-8883,05:30 PM,12:00 AM,05:30 PM,10:00 PM
Brasserie cognac,"1740 Broadway New York City, Ny 10019-4315",Gluten Free Options; European; French,Yes,+1 212-757-3600,10:00 AM,12:00 AM,10:00 AM,12:00 AM
Tehuitzingo,"695 10Th Ave New York City, Ny 10036-2906",Spanish; Mexican; Latin,Yes,+1 212-397-5956,08:30 AM,11:30 PM,08:30 AM,11:30 PM
Cheeky sandwiches,"35 Orchard St New York City, Ny 10002-6111",Vegetarian Friendly; American,Yes,+1 646-504-6816,07:00 AM,12:00 AM,07:00 AM,09:00 PM
David burke kitchen,"23 Grand St New York City, Ny 10013-1618",Gluten Free Options; Vegetarian Friendly; American,No,+1 212-201-9119,11:00 AM,11:00 PM,11:00 AM,10:00 PM
Casa adela,"66 Avenue C New York City, Ny 10009-6984",Caribbean; Spanish; Latin,Yes,+1 212-473-1882,07:00 AM,11:00 PM,07:00 AM,11:00 PM
The russian tea room,"150 W 57Th St New York City, Ny 10019-3301",International; Russian; Eastern European,No,+1 212-581-7100,11:00 AM,11:30 PM,11:00 AM,11:30 PM
Kellari taverna,"19 W 44Th St New York City, Ny 10036-5902",Seafood; Mediterranean; Greek,Yes,+1 212-221-0144,11:30 AM,12:00 AM,11:30 AM,11:00 PM
Dadong new york,"3 Bryant Park New York City, Ny 10036",Chinese; Asian,No,+1 212-355-9600,11:30 AM,10:30 PM,11:30 AM,10:00 PM
Orsay,"1057 Lexington Ave New York City, Ny 10021-3293",International; European; French,No,+1 212-517-6400,05:30 PM,11:00 PM,11:00 AM,09:30 PM
Toasties,"148 W 49Th St New York City, Ny 10019-6828",Cafe; American; Fast Food,Yes,+1 212-398-4900,07:00 AM,05:00 PM,07:00 AM,05:00 PM
Distilled,"211 W Broadway New York City, Ny 10013-2927",Contemporary; American; Gastropub,Yes,+1 646-809-9490,11:00 AM,02:00 AM,11:00 AM,11:00 PM
Palma,"28 Cornelia St New York City, Ny 10014-4126",Italian; Vegetarian Friendly; Mediterranean,No,+1 212-691-2223,05:00 PM,11:00 PM,05:00 PM,10:00 PM
Sant ambroeus west village,"259 W 4Th St New York City, Ny 10014-3205",Italian; Vegetarian Friendly; European,Yes,+1 212-604-9254,09:00 AM,11:00 PM,09:00 AM,11:00 PM
Fedora restaurant,"239 W 4Th St New York City, Ny 10014-2664",French; Bars; American (New),No,+1 212-242-9691,05:30 PM,02:00 AM,05:30 PM,01:00 AM
Casa nonna,"310 W 38Th St New York City, Ny 10018-3074",Italian; Vegetarian Friendly; Vegan Options,Yes,+1 212-736-3000,05:00 PM,10:30 PM,05:00 PM,09:30 PM
Jungsik,"2 Harrison St New York City, Ny 10013-2810",Gluten Free Options; Korean; Asian,No,+1 212-219-0900,05:00 PM,10:30 PM,05:00 PM,09:00 PM
Nougatine at jean georges,"1 Central Park W New York City, Ny 10023-7703",European; American; French,No,+1 212-299-3900,11:45 AM,11:00 PM,11:45 AM,11:00 PM
Nougatine at jean georges,"1 Central Park W New York City, Ny 10023-7703",European; American; French,No,+1 212-299-3900,11:45 AM,11:00 PM,11:45 AM,11:00 PM
Drop off service,"211 Avenue A New York City, Ny 10009-3413",Pub; Bar,No,+1 212-260-2914,01:00 PM,04:00 AM,01:00 PM,04:00 AM
Mint masala,"95 Macdougal St New York City, Ny 10012-1258",Vegan Options; Vegetarian Friendly; Indian,Yes,+1 212-777-2888,11:30 AM,05:00 AM,11:30 AM,05:00 AM
Raoul’s restaurant,"180 Prince St New York City, Ny 10012-2924",French,No,+1 212-966-3518,05:00 PM,01:00 AM,05:00 PM,12:00 AM
Pi greek bakerie,"512 Broome St New York City, Ny 10013-1608",Mediterranean; Cafe; Greek,Yes,+1 212-226-2701,07:00 AM,08:00 PM,08:00 AM,08:00 PM
Blue ribbon sushi bar & grill - new york,308 W 58Th St6 Columbus Hotelnew York Ny 10019,Japanese; Sushi; Asian,Yes,+1 212-397-0404,07:00 AM,02:00 AM,07:00 AM,12:00 AM
Bann restaurant,"350 W 50Th St New York City, Ny 10019-6664",Barbecue; Korean; Asian,Yes,+1 212-582-4446,12:00 PM,11:00 PM,12:00 PM,10:30 PM
Shalel lounge,"65 W 70Th St New York City, Ny 10023-4542",Moroccan; Mediterranean,Yes,+1 212-873-2300,05:00 PM,02:00 AM,05:00 PM,12:00 AM
International wings factory,"1762 1St Ave New York City, Ny 10128-5912",Sandwiches; Burgers; Chicken Wings,Yes,+1 212-348-2627,11:00 AM,10:00 PM,11:00 AM,10:00 PM
Bedford & co.,"118 E 40Th St New York City, Ny 10016-1724",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 212-634-4040,07:30 AM,11:00 PM,07:30 AM,10:00 PM
Alta,"64 W 10Th St New York City, Ny 10011-8702",Vegetarian Friendly; Spanish; Mediterranean,No,+1 212-505-7777,05:30 PM,01:00 AM,06:00 PM,10:30 PM
Italianissimo ristorante,"307 E 84Th St New York City, Ny 10028-4417",Italian; Wine Bars,Yes,+1 212-628-8603,03:00 PM,11:00 PM,12:00 PM,09:00 PM
Boucherie - west village,"99 7Th Ave S New York City, Ny 10014-3415",Vegetarian Friendly; Steakhouse; French,Yes,+1 212-837-1616,11:00 AM,02:00 AM,11:00 AM,01:00 AM
Casa enrique,"548 49Th Ave Long Island City, Ny 11101-5611",Central American; Mexican; Latin,Yes,+1 347-448-6040,11:00 AM,12:00 AM,11:00 AM,12:00 AM
Rue 57,"60 W 57Th St New York City, Ny 10019-3953",Vegetarian Friendly; American; French,Yes,+1 212-307-5656,09:00 AM,12:00 AM,09:00 AM,12:00 AM
Amelie,"22 W 8Th St New York City, Ny 10011-9002",Wine Bar; European; French,No,+1 212-533-2962,11:30 AM,02:00 AM,11:00 AM,12:00 AM
The candle cafe,"1307 3Rd Ave New York City, Ny 10021-3301",Vegetarian Friendly; American; Cafe,Yes,+1 212-472-0970,09:00 AM,10:00 PM,09:00 AM,09:30 PM
Blaue gans,"139 Duane St New York City, Ny 10013-3845",Austrian; European; German,Yes,+1 212-571-8880,11:00 AM,12:00 AM,Closed,Closed
The clocktower,"5 Madison Ave New York City, Ny 10010-3678",European; American; British,No,+1 212-413-4300,06:30 AM,11:00 PM,06:30 AM,10:00 PM
Maysville,"17 W 26Th St New York City, Ny 10010-1003",Gluten Free Options; Vegetarian Friendly; American,No,+1 646-490-8240,11:00 AM,02:00 AM,11:00 AM,12:00 AM
Little prince,"199 Prince St New York City, Ny 10012-2925",Gluten Free Options; European; French,No,+1 212-335-0566,05:00 PM,01:00 AM,05:00 PM,01:00 AM
Blue note,"131 W 3Rd St New York City, Ny 10012-1208",American (Traditional); Jazz & Blues; Bars,No,+1 212-475-8592,06:00 PM,03:00 AM,11:00 AM,12:00 AM
Gari of columbus,"370 Columbus Ave New York City, Ny 10024-5110",Japanese; Sushi; Asian,Yes,+1 212-362-4816,12:00 PM,10:45 PM,12:00 PM,10:45 PM
Please don't tell,"113 St. Marks Place New York City, Ny",International; American; Bar,No,+1 212-614-0386,06:00 PM,04:00 AM,06:00 PM,04:00 AM
Fusco,"43 E 20Th St New York City, Ny 10003-1337",Italian; Vegetarian Friendly,No,+1 212-777-5314,05:00 PM,11:00 PM,05:00 PM,10:00 PM
Otto's tacos,"131 7Th Ave S New York City, Ny 10014-3133",Fast Food; Mexican,Yes,+1 646-657-0646,12:00 PM,02:00 AM,12:00 PM,11:00 PM
Samba kitchen,"661 9Th Ave New York City, Ny 10036-3659",South American; Brazilian; Bar,Yes,+1 212-256-0171,11:00 AM,01:00 AM,11:00 AM,11:00 PM
Antonucci cafe,"170 E 81St St New York City, Ny 10028-1804",Italian,Yes,+1 212-570-5100,11:30 AM,11:00 PM,11:30 AM,10:00 PM
Bacaro,"136 Division St New York City, Ny 10002-6129",Italian; Wine Bars; Cocktail Bars,Yes,+1 212-941-5060,06:00 PM,12:00 AM,06:00 PM,12:00 AM
Inakaya,231 W 40Th Stnew York Times Bldgnew York Ny 10018,Japanese; Sushi; Asian,Yes,+1 212-354-2195,05:00 PM,10:00 PM,05:00 PM,10:00 PM
Macao trading co,"311 Church St New York City, Ny 10013-2491",Chinese; Portuguese; Asian,Yes,+1 212-431-8642,05:00 PM,04:00 AM,05:00 PM,02:00 AM
Pizzeria sirenetta,"568 Amsterdam Ave New York City, Ny 10024-2830",Pizza; Italian; Vegetarian Friendly,Yes,+1 212-799-7401,12:30 PM,10:30 PM,12:30 PM,10:00 PM
15 east restaurant,"15 E 15Th St New York City, Ny 10003-3162",Japanese; Sushi; Asian,No,+1 212-647-0015,12:00 PM,11:00 PM,Closed,Closed
Barbuto,"775 Washington St New York City, Ny 10014-1748",Italian; Vegetarian Friendly; Vegan Options,Yes,+1 212-924-9700,12:00 PM,12:00 AM,05:30 PM,10:00 PM
Vin et fleurs,"69 Thompson St New York City, Ny 10012-4368",Breakfast & Brunch; Wine Bars; French,Yes,+1 212-431-3330,07:30 AM,12:00 AM,07:30 AM,12:00 AM
Buddakan,"75 9Th Ave New York City, Ny 10011-7006",Chinese; Japanese; Asian,Yes,+1 212-989-6699,05:00 PM,01:00 AM,05:00 PM,11:00 PM
Quantum leap natural food,"226 Thompson St New York City, Ny 10012-4838",Vegan Options; Vegetarian Friendly; American,Yes,+1 212-677-8050,12:00 PM,10:30 PM,11:00 AM,09:30 PM
Giano restaurant,"126 E 7Th St New York City, Ny 10009-6128",Italian; Vegetarian Friendly,Yes,+1 212-673-7200,05:30 PM,11:30 PM,05:30 PM,11:00 PM
Atrio wine bar & restaurant,"102 N End Ave New York City, Ny 10282-1238",Gluten Free Options; Vegetarian Friendly; American,Yes,+1 646-769-4250,06:30 AM,12:00 AM,06:30 AM,12:00 AM
Lucali,"575 Henry St Brooklyn, Ny 11231-2707",Pizza; Italian; Vegetarian Friendly,Yes,+1 718-858-4086,06:00 PM,10:00 PM,06:00 PM,10:00 PM
Forlini's restaurant,"93 Baxter St New York City, Ny 10013-4491",Italian; Vegetarian Friendly; Vegan Options,Yes,+1 212-349-6779,12:00 PM,11:00 PM,12:00 PM,11:00 PM
Angus club steakhouse,"135 E 55Th St New York City, Ny 10022-4049",Gluten Free Options; Steakhouse; American,Yes,+1 212-588-1585,04:00 PM,11:00 PM,Closed,Closed
Fig & olive meatpacking,"420 W 13Th St New York City, Ny 10014-1103",Italian; Mediterranean; French,Yes,+1 212-924-1200,11:00 AM,11:30 PM,11:00 AM,10:00 PM
Red rooster harlem,"310 Lenox Avenue New York City, Ny 10027-4449",Vegetarian Friendly; American; Bar,Yes,+1 212-792-9001,10:00 AM,11:30 PM,10:00 AM,10:00 PM
The meatball shop,"84 Stanton St New York City, Ny 10002-1420",Italian; Vegetarian Friendly; American,Yes,+1 718-551-0520,11:30 AM,04:00 AM,11:30 AM,02:00 AM
Da andrea ristorante,"35 W 13Th St New York City, Ny 10011-7924",Italian; Vegetarian Friendly; Mediterranean,Yes,+1 212-367-1979,05:00 PM,11:00 PM,05:00 PM,10:00 PM
The beatrice inn,"285 W 12Th St New York City, Ny 10014-1941",Seafood; American (Traditional); Cocktail Bars,No,+1 212-675-2808,06:00 PM,01:00 AM,06:00 PM,12:00 AM
Casa restaurant,"72 Bedford St New York City, Ny 10014-4016",Latin; Spanish; Brazilian,Yes,+1 212-366-9410,11:00 AM,12:00 AM,11:00 AM,10:00 PM
Hunt & fish club,"125 W 44Th St New York City, Ny 10036-4012",Seafood; Gluten Free Options; American,No,+1 212-575-4949,05:00 PM,10:30 PM,03:30 PM,08:00 PM
Michael jordan's the steak house n.y.c.,23 Vanderbilt Avegrand Central Terminalnew York Ny 10017,Gluten Free Options; Steakhouse; American,No,+1 212-655-2300,05:00 PM,10:15 PM,05:00 PM,09:15 PM
La villetta,"398 E 52Nd St New York City, Ny 10022-6460",Italian; Vegetarian Friendly; Gluten Free Options,Yes,+1 212-829-0003,12:00 PM,11:00 PM,12:00 PM,10:00 PM
Sammy's roumanian steakhouse,"157 Chrystie St New York City, Ny 10002-2836",Desserts; Salad; Steakhouses,Yes,+1 212-673-0330,04:00 PM,11:00 PM,04:00 PM,09:00 PM
Bistro milano,"1350 Avenue Of The Americas New York City, Ny 10019-4702",Italian; Vegetarian Friendly; Gluten Free Options,Yes,+1 212-757-2600,11:00 AM,11:00 PM,11:00 AM,11:00 PM
Pepolino restaurant,"281 W Broadway New York City, Ny 10013-2204",Italian; Vegetarian Friendly; Mediterranean,Yes,+1 212-966-9983,12:00 PM,12:00 AM,12:00 PM,11:00 PM
Proof coffee roasters,"335 E 27Th St New York City, Ny 10016-9123",Bakeries; Breakfast & Brunch; Coffee Roasteries,Yes,+1 212-233-3985,09:00 AM,05:00 PM,09:00 AM,05:00 PM
Rafele ristorante,"29 7Th Ave S New York City, Ny 10014-3938",Italian; Vegetarian Friendly; Vegan Options,Yes,+1 212-242-1999,11:30 AM,11:00 PM,11:30 AM,10:00 PM
Candle 79,"154 E 79Th St New York City, Ny 10075-0423",Vegan Options; Vegetarian Friendly; American,Yes,+1 212-537-7179,12:00 PM,10:30 PM,12:00 PM,10:00 PM
Hourglass tavern,"373 W 46Th St New York City, Ny 10036-3810",Vegetarian Friendly; American; Bar,Yes,+1 212-265-2060,11:00 AM,01:00 AM,11:00 AM,12:00 AM
The house,"121 E 17Th St New York City, Ny 10003-2105",Gluten Free Options; Vegetarian Friendly; American,No,+1 212-353-2121,04:30 PM,12:00 AM,04:30 PM,11:30 PM
Kashkaval garden,"852 9Th Ave New York City, Ny 10019-4452",International; Mediterranean; Canadian,Yes,+1 212-245-1758,11:00 AM,03:00 AM,11:00 AM,12:00 AM
Dominique bistro,"14 Christopher St New York City, Ny 10014-3523",Wine Bar; European; French,Yes,+1 646-756-4145,09:00 AM,12:00 AM,09:00 AM,12:00 AM
Omakase room by tatsu,"14 Christopher St New York City, Ny 10014-3523",Wine Bar; European; French,Yes,+1 646-756-4145,09:00 AM,12:00 AM,Closed,Closed
Bobby van’s steakhouse,"120 W 45Th St New York City, Ny 10036-4195",Seafood; American (Traditional); Steakhouses,Yes,+1 212-575-5623,12:00 PM,11:00 PM,12:00 PM,11:00 PM
Mighty quinn's barbeque,"103 2Nd Ave New York City, Ny 10003-8336",American; Barbecue; Southwestern,Yes,+1 212-677-3733,11:30 AM,12:00 AM,11:30 AM,11:00 PM
Del frisco's double eagle steak house,"1221 Avenue Of The Americas New York City, Ny 10020-1001",Gluten Free Options; Steakhouse; American,No,+1 212-575-5129,05:00 PM,12:00 AM,05:00 PM,10:00 PM
Del frisco's double eagle steak house,"1221 Avenue Of The Americas New York City, Ny 10020-1001",Gluten Free Options; Steakhouse; American,No,+1 212-575-5129,05:00 PM,12:00 AM,05:00 PM,10:00 PM
