Name,Address,Phone,Cuisines,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time,Take Out
Blue Maiz,"606 8th Ave New York City, NY 10018-3008",+1 212-704-2106,Mexican;Latin;Fast Food,11:00 AM,10:00 PM,11:00 AM,9:00 PM,Yes
ilili Box,"700 8th Ave New York City, NY 10036-3901",+1 917-338-0925,Fast Food;Middle Eastern;Lebanese,6:30 AM,10:00 PM,6:30 AM,9:00 PM,Yes
The Schaller Stube Sausage Bar,"1652 Second Avenue at 85th Street New York City, NY",+1 212-879-3047,German;Fast Food,NaN,NaN,NaN,NaN,Yes
Rock Bar,"185 Christopher St New York City, NY 10014-2815",+1 212-675-1864,NaN,12:00 PM,4:00 AM,12:00 PM,4:00 AM,No
Kuu Ramen,"20 John St New York City, NY 10038-4038",+1 212-571-7177,Japanese;Asian;Soups,NaN,NaN,NaN,NaN,Yes
Rocking Horse Cafe,"182 8th Ave New York City, NY 10011-1604",+1 212-463-9511,Mexican;Latin;Contemporary,11:00 AM,12:00 AM,11:00 AM,11:00 PM,Yes
Dutch Fred's,"307 W 47th St New York City, NY 10036-2403",+1 646-918-6923,American;Bar;Pub,NaN,NaN,NaN,NaN,No
Da Gennaro Restaurant,"129 Mulberry St New York City, NY 10013-5571",+1 212-431-3934,Italian;Vegetarian Friendly;Vegan Options,10:00 AM,1:00 AM,10:00 AM,12:00 AM,Yes
Kilo,"857 9th Ave New York City, NY 10019-4447",+1 212-707-8770,Wine Bar;Spanish;Vegetarian Friendly,4:30 PM,12:00 AM,4:30 PM,11:00 PM,No
Ca Va Todd English,"310 W 44th St New York City, NY 10036-5419",+1 212-803-4545,American;Gluten Free Options,7:00 AM,1:00 AM,7:00 AM,12:00 AM,No
Taqueria Lower East Side,"198 Orchard St New York City, NY 10002-1403",+1 212-677-3910,Mexican,12:00 PM,11:59 PM,11:00 AM,12:00 AM,No
Pret A Manger,"30 Rockefeller Plz New York City, NY 10112-0015",+1 212-246-6944,American;Cafe;Fast Food,NaN,NaN,NaN,NaN,Yes
Rita's Italian Ice,"2486 Broadway New York City, NY 10025-7428",+1 212-362-5880,Italian,NaN,NaN,NaN,NaN,No
Cafe Jax,"318 E 84th St New York City, NY 10028-4422",+1 212-510-7084,NaN,NaN,NaN,NaN,NaN,No
Barn Joo 35,"34 W 35th St New York City, NY 10001-2256",+1 212-564-4430,Asian;Korean;Gastropub,12:00 PM,2:00 AM,12:00 PM,11:00 PM,Yes
Golden Krust Patties,"105 E 42nd St New York City, NY 10017-5614",+1 646-487-2003,Caribbean;Fast Food;Jamaican,7:00 AM,9:00 PM,7:00 AM,9:00 PM,No
Siri Thai,"641 10th Ave New York City, NY 10036-2909",+1 212-245-4601,Asian;Thai;Vegetarian Friendly,9:00 AM,12:00 AM,9:00 AM,12:00 AM,Yes
Southgate Bar & Restaurant,"154 Central Park S New York City, NY 10019-1510",+1 212-484-5120,American;Gluten Free Options,7:00 AM,10:30 PM,7:00 AM,10:30 PM,No
Friedman's,"132 W 31st St New York City, NY 10001-3406",+1 212-971-9400,American;Vegetarian Friendly;Vegan Options,8:30 AM,10:00 PM,8:30 AM,9:00 PM,Yes
Num Pang Sandwich Shop,"1129 Broadway New York City, NY 10010-2006",+1 212-647-8889,Cambodian;Asian;Vegetarian Friendly,NaN,NaN,NaN,NaN,Yes
Potbelly Sandwich Works,"90 Broad St New York City, NY 10004-2205",+1 212-742-8431,American;Fast Food;Vegetarian Friendly,10:00 AM,6:00 PM,NaN,NaN,Yes
Xi'an Famous Foods,"24 W 45th St New York City, NY 10036-4205",+1 212-786-2068,Chinese;Asian;Vegetarian Friendly,11:30 AM,10:30 PM,11:30 AM,9:30 PM,Yes
District Tap House,"246 W 38th St New York City, NY 10018-5805",+1 212-221-1822,Pub;Gastropub;American,11:30 AM,4:00 AM,11:30 AM,11:45 PM,No
Ginny's Supper Club,"310 Malcolm X Blvd New York City, NY 10027-4449",+1 212-421-3821,American;Scandinavian,6:00 PM,10:00 PM,10:30 AM,3:00 PM,Yes
Maison Harlem,"341 Saint Nicholas Ave New York City, NY 10027-7602",+1 212-222-9224,French;European;Bar,11:00 AM,12:00 AM,11:00 AM,12:00 AM,No
Broadstone Bar & Kitchen,"88 Broad St New York City, NY 10004-2203",+1 646-707-0426,American;Bar;Gastropub,11:00 AM,2:00 AM,11:00 AM,2:00 AM,Yes
The Red Flame Diner,"67 W 44th St New York City, NY 10036-6613",+1 212-869-3965,American;Diner;Vegetarian Friendly,4:00 AM,3:59 AM,4:00 AM,3:59 AM,Yes
Patsy's Pizza,"2287 1st Ave New York City, NY 10035-5010",+1 212-534-9783,Italian;Pizza;Vegetarian Friendly,11:00 AM,12:00 AM,11:30 AM,10:00 PM,Yes
St Patrick's Bar and Grill,"22 W 46th St New York City, NY 10036-4500",+1 212-391-1111,American;Bar;Pub,9:00 AM,4:00 AM,9:00 AM,4:00 AM,Yes
Mile End Sandwich Shop,"53 Bond St New York City, NY 10012-2405",+1 212-529-2990,American;Delicatessen,10:00 AM,10:00 PM,10:00 AM,10:00 PM,Yes
Delmonico's,"56 Beaver St New York City, NY 10004-2436",+1 212-509-1144,American;Steakhouse;Gluten Free Options,5:00 PM,10:00 PM,NaN,NaN,No
Premier Cafe,"856 7th Ave New York City, NY 10019-5204",+1 212-757-4477,American;Cafe;Delicatessen,NaN,NaN,NaN,NaN,Yes
The Halal Guys,"6th Avenue At 53rd New York City, NY",+1 347-527-1505,Middle Eastern;Fast Food;Vegetarian Friendly,7:00 PM,5:30 AM,7:00 PM,4:00 AM,Yes
Boulud Sud,"20 W 64th St New York City, NY 10023-7129",+1 212-595-1313,Mediterranean;Vegetarian Friendly;Vegan Options,5:00 PM,11:30 PM11:00 AM,5:00 PM,11:00 PM11:00 AM,No
Blue Coco,"153 E 106th St New York City, NY 10029-4627",+1 212-534-2626,American;Cafe,NaN,NaN,NaN,NaN,No
Brooklyn Diner,"212 W 57th St New York City, NY 10019-3200",+1 212-977-1957,American;Diner;Delicatessen,8:00 AM,12:00 AM,8:00 AM,11:00 PM,Yes
Rosa Mexicano - Union Square,"9 E 18th St New York City, NY 10003-1903",+1 212-533-3350,Mexican;Latin;Central American,11:30 AM,11:30 PM,11:30 AM,4:00 PM,Yes
Acqua,"718 Amsterdam Ave New York City, NY 10025-6903",+1 212-222-2752,Italian;Pizza;Mediterranean,11:00 AM,11:30 PM,11:00 AM,11:00 PM,Yes
Chinese Fast Wok,"230 7th Ave New York City, NY 10011-1861",+1 212-645-6888,Chinese;Asian;Vegetarian Friendly,11:00 AM,11:30 PM,11:00 AM,11:30 PM,No
99 Cents Fresh Pizza,"388 Avenue of the Americas New York City, NY 10011-8415",+1 212-780-0020,NaN,12:00 AM,11:59 PM,12:00 AM,11:59 PM,No
Benoit New York,"60 W 55th St New York City, NY 10019-5308",+1 646-943-7373,French;Contemporary;Vegetarian Friendly,11:45 AM,11:00 PM,11:45 AM,11:00 PM,No
The Original SoupMan,"259A W 55th St New York City, NY 10019-5202",+1 212-956-0900,Fast Food;Soups;American,11:00 AM,8:00 PM,11:00 AM,7:00 PM,Yes
Sido Falafel & More,"267 Columbus Ave New York City, NY 10023-2904",+1 212-874-2075,Mediterranean;Middle Eastern;Lebanese,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
EZ Deli,"1625 Broadway New York City, NY 10019-7407",+1 212-767-0187,Delicatessen,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Kikku,"50 W 55th St New York City, NY 10019-5375",+1 212-582-8357,Sushi;Asian;Japanese,12:00 PM,10:00 PM,NaN,NaN,No
Bubble Tea & Crepes,"251 5th Ave New York City, NY 10016-6515",+1 646-590-1959,French;Asian;Taiwanese,NaN,NaN,NaN,NaN,No
Wogies Bar & Grill,"39 Greenwich Ave New York City, NY 10014-2751",+1 212-229-2171,American;Bar;Pub,11:00 AM,3:00 AM,11:30 AM,2:00 AM,Yes
Strokos Gourmet Deli,"1090 Amsterdam Ave New York City, NY 10025-1737",+1 212-666-2121,American;Cafe;Pizza,6:30 AM,9:00 PM,6:30 AM,9:00 PM,Yes
Villa Pizza,"625 8th Ave New York City, NY 10018-1415",+1 212-302-2941,Pizza;Italian,5:30 AM,12:00 AM,5:30 AM,12:00 AM,No
Red Hen,"587 9th Ave New York City, NY 10036-3706",+1 212-244-7334,American;Vegetarian Friendly,NaN,NaN,NaN,NaN,No
Cafe Select,"212 Lafayette St New York City, NY 10012-4025",+1 212-925-9322,Cafe;European;Gluten Free Options,9:00 AM,2:00 AM,9:00 AM,12:00 AM,Yes
Sushiya,"28 W 56th St New York City, NY 10019-3816",+1 212-247-5756,Seafood;Sushi;Vegetarian Friendly,5:00 PM,10:30 PM11:30 AM,5:00 PM,10:30 PM,Yes
Num Pang Sandwich Shop,"225 Liberty St New York City, NY 10281-1008",+1 212-227-1957,Fast Food;Asian;Vegetarian Friendly,11:00 AM,8:00 PM,11:00 AM,7:00 PM,Yes
Avra Madison Estiatorio,"14 East 60 Street New York City, NY 10022-1006",+1 212-937-0100,Greek;Vegetarian Friendly;Vegan Options,5:00 PM,12:00 AM11:30 AM,5:00 PM,11:00 PM11:30 AM,No
UN Plaza Grill,"845 United Nations Plaza New York City, NY 10017-3540",+1 212-223-1801,NaN,NaN,NaN,NaN,NaN,No
AlMar,"111 Front St Brooklyn, NY 11201-1007",+1 718-855-5288,Italian;Vegetarian Friendly;Gluten Free Options,9:00 AM,11:00 PM,10:00 AM,5:00 PM,Yes
McDonald's,"280 Madison Ave Frnt A New York City, NY 10016-0801",+1 212-213-3565,NaN,NaN,NaN,NaN,NaN,No
At Nine Restaurant & Bar,"592 9th Ave New York City, NY 10036-3737",+1 212-265-4499,Asian;Thai;Vegetarian Friendly,12:00 PM,10:45 PM,12:00 PM,10:45 PM,Yes
The Bao,"13 Saint Marks Pl New York City, NY 10003-7807",+1 202-388-9238,Chinese;Asian,12:00 PM,11:30 PM,12:00 PM,10:30 PM,Yes
Characters Grill,"243 W 54th St, New York, NY 10019 New York City, NY 10019",+1 212-459-8904,American;Bar;Pub,11:00 AM,3:59 AM,11:00 AM,3:59 AM,No
Murray's Falafel and Grill,"261 1st Ave New York City, NY 10003-2901",+1 212-533-1956,Mediterranean;Middle Eastern;Israeli,NaN,NaN,11:00 AM,10:00 PM,No
San Marzano,"117 2nd Ave New York City, NY 10003-8355",+1 212-777-3600,Italian;Vegetarian Friendly;Gluten Free Options,11:00 AM,12:00 AM,11:00 AM,11:00 PM,Yes
Don Antonio,"309 W 50th St New York City, NY 10019-6607",+1 646-719-1043,Italian;Pizza;Vegetarian Friendly,11:30 AM,11:30 PM,11:30 AM,10:30 PM,Yes
Gracie's Corner Diner,"352 E 86th St New York City, NY 10028-4649",+1 212-737-8505,American;Diner,4:00 AM,3:30 AM,4:00 AM,3:30 AM,Yes
Pret A Manger,"100 Church St New York City, NY 10007-2601",+1 212-227-3108,Fast Food;Soups;Cafe,12:00 AM,9:00 PM,12:00 AM,9:00 PM,No
Jack Russell's,"1591 2nd Ave New York City, NY 10028-4906",+1 212-472-2800,Bar,12:00 PM,4:00 AM,4:00 PM,4:00 AM,No
Tarallucci e Vino Union Square,"15 E 18th St New York City, NY 10003-1903",+1 212-228-5400,Italian;Mediterranean;Vegetarian Friendly,9:00 AM,1:00 AM,9:00 AM,5:00 PM,Yes
Texas Rotisserie & Grill,"1315 1st Ave New York City, NY 10021-8604",+1 212-396-0700,NaN,11:00 AM,10:30 PM,11:00 AM,10:30 PM,No
Shake Shack,"215 Murray St New York City, NY 10282-5651",+1 646-545-4600,American;Fast Food;Vegetarian Friendly,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
Suzuki,"114 W 47th St New York City, NY 10036-1510",+1 212-278-0010,Japanese;Sushi;Seafood,NaN,NaN,NaN,NaN,No
limani,"45 Rockefeller Plz New York City, NY 10111-0100",+1 212-858-9200,Seafood;Mediterranean;Greek,12:00 PM,12:00 AM,12:00 PM,10:00 PM,No
Doaba Deli,"945 Columbus Ave New York City, NY 10025-3106",+1 212-222-2636,Indian;Vegetarian Friendly,NaN,NaN,NaN,NaN,No
Kung Fu Tea,"73 Chrystie St New York City, NY 10002-5034",+1 646-288-4936,Cafe,11:00 AM,10:00 PM,11:00 AM,10:00 PM,No
Snack EOS,"522 9th Ave New York City, NY 10018-2803",+1 646-964-4964,Mediterranean;Greek;Vegetarian Friendly,11:30 AM,11:00 PM,11:30 AM,10:00 PM,Yes
Cafe Evergreen,"1367 1st Ave New York City, NY 10021-9513",+1 212-744-3266,Chinese;Asian;Vegetarian Friendly,11:00 AM,11:30 PM,11:00 AM,11:00 PM,Yes
The Hummus And Pita Co,"79 Chambers St New York City, NY 10007-1824",+1 212-571-6700,Mediterranean;Middle Eastern;Lebanese,NaN,NaN,NaN,NaN,Yes
Bravo Pizza,"64 7th Ave New York City, NY 10011-6673",+1 212-727-3750,Italian;Pizza,NaN,NaN,NaN,NaN,No
Thalassa,"179 Franklin St New York City, NY 10013-2857",+1 212-941-7661,Seafood;Mediterranean;Greek,5:30 PM,11:00 PM,NaN,NaN,No
Vegetarian Dim Sum House,"24 Pell St New York City, NY 10013-5176",+1 212-577-7176,Chinese;Asian;Vegetarian Friendly,10:30 AM,10:00 PM,10:30 AM,10:00 PM,Yes
Battery Gardens,"Battery Park New York City, NY 10004",+1 212-809-5508,American;Vegetarian Friendly;Vegan Options,11:30 AM,12:00 AM,11:30 AM,12:00 AM,No
Grand Sichuan 74,"307 Amsterdam Ave New York City, NY 10023-1702",+1 212-580-0277,Chinese;Asian,12:00 PM,11:00 PM,12:00 PM,11:00 PM,Yes
Buona Notte,"120 Mulberry St Apt 1 New York City, NY 10013-4693",+1 212-965-1111,Italian,11:00 AM,9:00 PM,10:30 AM,9:00 PM,Yes
Totto Ramen,"464 W 51st St New York City, NY 10019-6517",+1 646-596-9056,Japanese;Asian;Soups,12:00 PM,4:30 PM5:30 PM,4:00 PM,11:00 PM,No
Uncle Mario's Brick Oven Pizza,"739 9th Ave New York City, NY 10019-7201",+1 212-459-1234,Italian;Pizza;Vegetarian Friendly,10:00 AM,11:59 PM,10:00 AM,12:00 AM12:00 PM,Yes
Upland,"345 Park Ave S New York City, NY 10010-1707",+1 212-686-1006,American;Vegetarian Friendly;Vegan Options,5:00 PM,11:00 PM10:00 AM,5:00 PM,10:00 PM10:00 AM,No
Shake Shack,"200 Broadway New York City, NY 10038-2542",+1 646-230-0320,American,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
540 Park Restaurant,"540 Park Ave New York City, NY 10065-7366",+1 212-339-4050,American,7:00 AM,3:30 PM5:30 PM,7:00 AM,3:30 PM5:30 PM,No
Saravanaa Bhavan,"81 Lexington Ave New York City, NY 10016-8903",+1 212-679-0204,Indian;Asian;Vegetarian Friendly,NaN,NaN,NaN,NaN,Yes
Sweetwater Restaurant,"105 N 6th St Brooklyn, NY 11249-3001",+1 718-963-0608,American;Bar;Pub,10:30 AM,12:00 AM,10:30 AM,12:00 AM,Yes
Mr. Taka Ramen,"170 Allen St New York City, NY 10002-2184",+1 212-254-1508,Japanese;Asian,NaN,NaN,NaN,NaN,Yes
Cafe Viva,"2578 Broadway New York City, NY 10025-5642",+1 212-663-8482,Italian;Pizza;Healthy,11:00 AM,10:45 PM,11:00 AM,10:45 PM,Yes
Popeyes Louisiana Kitchen,"75 Lexington Ave New York City, NY 10010-1840",+1 212-725-7033,NaN,10:00 AM,12:00 AM,10:00 AM,11:00 PM,No
Tina's,"23 W 56th St New York City, NY 10019-3928",+1 212-315-4313,Latin;Cuban;Caribbean,NaN,NaN,NaN,NaN,Yes
Vinny's of Carroll Gardens,"295 Smith St Brooklyn, NY 11231-4609",+1 718-875-5600,Italian,11:00 AM,10:00 PM,12:00 PM,9:00 PM,Yes
Sushi Yasuda,"204 E 43rd St New York City, NY 10017-4713",+1 212-972-1001,Japanese;Sushi;Asian,6:00 PM,10:15 PM,NaN,NaN,No
Cafe 11,"11 Broadway New York City, NY 10004-1303",+1 212-425-2233,Sushi;Fast Food;Kosher,NaN,NaN,NaN,NaN,No
Masala Times,"194 Bleecker St New York City, NY 10012-1447",+1 212-995-5100,Street Food;Indian;Halal,11:30 AM,5:00 AM,11:30 AM,3:00 AM,Yes
42nd Street Pizza,"647 W. 42 Street New York City, NY 10036-1910",+1 212-594-4312,Pizza,NaN,NaN,NaN,NaN,Yes
Ambrose Beer & Lobster,"18 Fulton St New York City, NY 10038-2101",+1 212-480-0300,American;Bar;Seafood,12:00 PM,12:00 AM,12:00 PM,12:00 AM,Yes
Ristorante Morini,"1167 Madison Ave New York City, NY 10028-0409",+1 212-249-0444,Seafood;Italian;Vegetarian Friendly,4:00 PM,10:30 PM,11:30 AM,9:30 PM,Yes
Prime Meats,"465 Court St Brooklyn, NY 11231-4010",+1 718-254-0327,American;Steakhouse;German,8:00 AM,1:00 AM,8:00 AM,12:00 AM,No
Perrine,"2 E 61st St New York City, NY 10065-8401",+1 212-940-8195,Fusion;French;Vegetarian Friendly,7:00 AM,10:30 AM5:30 PM,7:00 AM,10:30 AM12:00 PM,No
Wicked Willy's,"149 Bleecker St New York City, NY 10012-1437",+1 212-254-8592,American;Bar;Pub,4:00 PM,4:00 AM,4:00 PM,4:00 AM,No
Olive Tree Cafe,"117 Macdougal St New York City, NY 10012-1267",+1 212-254-3480,American;Bar;Mediterranean,11:00 AM,4:00 AM,11:00 AM,2:30 AM,No
Le Pain Quotidien,"2 W 69th St New York City, NY 10023-5202",+1 646-233-3768,French;European;Cafe,7:00 AM,9:00 PM,7:00 AM,9:00 PM,Yes
Sylvia's Restaurant,"328 Malcolm X Blvd New York City, NY 10027-3702",+1 212-996-0660,American,8:00 AM,10:30 PM,11:00 AM,8:00 PM,Yes
Wendy's,"259 W 34th St New York City, NY 10001-2803",+1 212-560-7875,American;Fast Food,7:00 AM,12:00 AM,7:00 AM,11:00 PM,Yes
Uchu,"217 Eldridge St New York City, NY 10002-1317",+1 212-203-7634,Japanese;Bar;Sushi,NaN,NaN,NaN,NaN,No
5 Brothers Gourmet Market,"689 10th Ave New York City, NY 10036-2901",+1 212-245-0413,NaN,12:00 AM,11:59 PM,12:00 AM,11:59 PM,No
Ninja New York,"25 Hudson St New York City, NY 10013-3802",+1 212-274-8500,Japanese;American;Sushi,5:00 PM,11:00 PM,5:00 PM,10:00 PM,No
Hama Japanese Cuisine,"11 W 51st St New York City, NY 10019-6994",+1 212-757-7103,Japanese;Bar;Sushi,5:00 PM,10:00 PM12:00 PM,NaN,NaN,Yes
Rossopomodoro,"200 5th Ave New York City, NY 10010-3302",+1 212-229-2560,Italian;Pizza;Vegetarian Friendly,9:00 AM,11:00 PM,9:00 AM,11:00 PM,Yes
Jams Restaurant,"1414 Avenue of the Americas New York City, NY 10019-2514",+1 212-703-2007,American;Vegetarian Friendly;Vegan Options,7:00 AM,3:00 PM5:00 PM,7:00 AM,3:00 PM5:00 PM,Yes
Malaysia Grill,"224 W 104th St New York City, NY 10025-4266",+1 212-579-1333,Asian;Malaysian,11:00 AM,11:00 PM,11:00 AM,10:00 PM,Yes
Cafe Olympia 55,"664 Lexington Ave New York City, NY 10022-3503",+1 212-355-8383,NaN,NaN,NaN,NaN,NaN,No
Ajisen Ramen,"136 W 28th St New York City, NY 10001-6104",+1 646-638-0888,Japanese;Asian;Soups,11:00 AM,10:00 PM,11:00 AM,10:00 PM,Yes
Aquavit,"65 E 55th St New York City, NY 10022-3219",+1 212-593-0287,European;Swedish;Scandinavian,5:30 PM,10:30 PM,NaN,NaN,No
McDonald's,"972 Avenue of the Americas New York City, NY 10018-5405",+1 212-279-2022,American;Fast Food,12:00 AM,11:59 PM,12:00 AM,11:59 PM,Yes
Serafina,"210 W 55th St New York City, NY 10019-5467",+1 212-315-1700,Italian;Pizza;Vegetarian Friendly,7:00 AM,1:00 AM,7:00 AM,12:00 AM,Yes
Bailey Pub and Brasserie,"52 William St New York City, NY 10005-2876",+1 212-859-2200,American;Bar;Pub,8:00 AM,2:00 AM,8:00 AM,2:00 AM,Yes
Oda House,"76 Avenue B New York City, NY 10009",+1 212-353-3838,Russian;Vegetarian Friendly;Gluten Free Options,11:00 AM,12:00 AM,11:00 AM,12:00 AM,Yes
A Voce Columbus,"10 Columbus Cir New York City, NY 10019-1158",+1 212-823-2523,Italian;Gluten Free Options,5:30 PM,10:30 PM,NaN,NaN,No
Isadoras Cafe,"16 E 52nd St New York City, NY 10022-5306",+1 212-888-5656,American;Cafe;Fast Food,6:00 AM,8:30 PM,6:00 AM,5:30 PM,Yes
Lucky Star Cafe,"250 W 43rd St New York City, NY 10036-3970",+1 212-764-7920,American,6:00 AM,6:00 AM,6:00 AM,6:00 AM,Yes
Mustang Harry's,"352 7th Ave New York City, NY 10001-5012",+1 212-268-8930,American;Vegetarian Friendly;Gluten Free Options,11:00 AM,4:00 AM,11:00 AM,4:00 AM,Yes
Dim Sum Go Go,"5 E Broadway New York City, NY 10038-1013",+1 212-732-0796,Chinese;Asian;Vegetarian Friendly,10:00 AM,10:30 PM,10:00 AM,10:30 PM,Yes
Hanover Deli,"3 Hanover Sq New York City, NY 10004-2615",+1 212-797-3776,NaN,6:30 AM,3:00 PM,6:30 AM,3:00 PM,No
Zizi Limona,"129 Havemeyer St Brooklyn, NY 11211-4411",+1 347-763-1463,Mediterranean;Middle Eastern;Lebanese,11:30 AM,11:00 PM,11:30 AM,11:00 PM,Yes
Belle Reve,"305 Church St New York City, NY 10013-2407",+1 212-680-0101,Bar;Pub;American,11:00 AM,4:00 AM,11:00 AM,4:00 AM,Yes
Tiffin Wallah,"127 E 28th St New York City, NY 10016-8406",+1 212-685-7301,Indian;Asian;Vegetarian Friendly,12:00 PM,10:00 PM,12:00 PM,10:00 PM,Yes
District Social,"252 W 37th St New York City, NY 10018-6636",+1 212-994-9599,American;Bar,NaN,NaN,NaN,NaN,No
Live Bait,"14 E 23rd St New York City, NY 10010-4403",+1 212-353-2400,American;Bar;Pub,11:30 AM,12:00 AM,11:30 AM,12:00 AM,Yes
La Palapa,"77 Saint Marks Place New York City, NY 10003-7945",+1 212-777-2537,Mexican;Latin;Bar,11:00 AM,12:00 AM,11:00 AM,12:00 AM,Yes
Boqueria,"53 W 19th St New York City, NY 10011-4202",+1 212-255-4160,Mediterranean;Spanish;Vegetarian Friendly,12:00 PM,11:30 PM,12:00 PM,10:30 PM,No
Serafina,"77 E Broadway # 2178 New York City, NY 10002-6007",NaN,Italian;Pizza;Vegetarian Friendly,7:00 AM,12:00 AM,7:00 AM,11:00 PM,Yes
Amaze58,"1066 1st Ave New York City, NY 10022-2202",+1 212-688-8808,Sushi;Japanese;Thai,11:00 AM,12:00 AM,11:00 AM,11:00 PM,No
Excellent Dumpling House,"165 W 23rd St New York City, NY 10011-2404",+1 212-989-8885,Chinese,11:00 AM,11:00 PM,11:00 AM,10:30 PM,No
The Grill,"99 East 52 St New York City, NY 10022-5905",+1 212-375-9001,American,5:00 PM,10:00 PM,NaN,NaN,No
Bella Napoli,"257 7th Ave New York City, NY 10001-7381",+1 212-675-4050,Italian;Pizza,11:00 AM,11:00 PM,12:00 PM,10:00 PM,Yes
Red Cat,"227 10th Ave New York City, NY 10011-4717",+1 212-242-1308,American;Vegetarian Friendly;Vegan Options,5:30 PM,11:00 PM11:30 AM,5:00 PM,10:00 PM11:30 AM,No
Skinner's Loft,"146 Newark Ave Jersey City, NJ 07302-2812",+1 201-915-0600,American;Bar;Gluten Free Options,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
Buttermilk Channel,"524 Court St Brooklyn, NY 11231-4014",+1 718-852-8490,American;Vegetarian Friendly;Gluten Free Options,5:00 PM,12:00 AM10:00 AM,5:00 PM,10:00 PM10:00 AM,No
Hakubai,"66 Park Ave New York City, NY 10016-3007",+1 212-885-7111,Japanese;Sushi;Asian,11:45 AM,2:30 PM6:00 PM,6:00 PM,10:00 PM,No
Lillie's Victorian Establishment,"249 W 49th St New York City, NY 10019-7404",+1 212-957-4530,American;Bar;Pub,11:00 AM,4:00 AM,11:00 AM,4:00 AM,No
Molly Wee Pub,"402 8th Ave New York City, NY 10001-1808",+1 212-967-2627,American;Irish;Bar,12:00 PM,5:00 PM,12:00 PM,5:00 PM,No
Marlow & Sons,"81 Broadway Brooklyn, NY 11249-6005",+1 718-384-1441,American;Gluten Free Options;Vegetarian Friendly,8:00 AM,4:00 PM5:00 PM,8:00 AM,4:00 PM5:00 PM,Yes
Sadelle's,"463 W Broadway New York City, NY 10012-3104",+1 212-776-4926,American;Vegetarian Friendly;Gluten Free Options,8:30 AM,8:30 PM,8:30 AM,5:00 PM,Yes
Asellina,"420 Park Ave S New York City, NY 10016-8403",+1 212-317-2908,Italian;Gluten Free Options;Vegetarian Friendly,7:00 AM,11:30 PM,7:00 AM,10:00 PM,No
Famous Famiglia,"686 8th Ave New York City, NY 10036-7114",+1 212-382-3030,Italian;Pizza;Fast Food,9:00 AM,3:00 AM,9:00 AM,12:30 AM,Yes
Victor's Cafe,"236 W 52nd St New York City, NY 10019-5822",+1 212-586-7714,Latin;Spanish;Cuban,11:45 AM,12:00 AM,11:45 AM,11:00 PM,Yes
